MonoxidoDeCarbono,Fecha,Hora,ValorCarbono,Unidad,Ozono,Fecha,Hora,ValorOzono,Unidad,DioxidoDeNitrogeno,Fecha,Hora,ValorNitrogeno,Unidad
CO,20/04/2023,23:00 - 0:00,1.11,ppm,O3,20/04/2023,23:00 - 0:00,0.029,ppm,NO2,20/04/2023,23:00 - 0:00,0.019,ppm
CO,20/04/2023,0:00 - 1:00,1.13,ppm,O3,20/04/2023,0:00 - 1:00,0.029,ppm,NO2,20/04/2023,0:00 - 1:00,0.017,ppm
CO,20/04/2023,1:00 - 2:00,1.08,ppm,O3,20/04/2023,1:00 - 2:00,0.027,ppm,NO2,20/04/2023,1:00 - 2:00,0.016,ppm
CO,20/04/2023,2:00 - 3:00,1.03,ppm,O3,20/04/2023,2:00 - 3:00,0.03,ppm,NO2,20/04/2023,2:00 - 3:00,0.013,ppm
CO,20/04/2023,3:00 - 4:00,1,ppm,O3,20/04/2023,3:00 - 4:00,0.022,ppm,NO2,20/04/2023,3:00 - 4:00,0.018,ppm
CO,20/04/2023,4:00 - 5:00,1.11,ppm,O3,20/04/2023,4:00 - 5:00,0.003,ppm,NO2,20/04/2023,4:00 - 5:00,0.029,ppm
CO,20/04/2023,5:00 - 6:00,1.22,ppm,O3,20/04/2023,5:00 - 6:00,0.002,ppm,NO2,20/04/2023,5:00 - 6:00,0.027,ppm
CO,20/04/2023,6:00 - 7:00,1.36,ppm,O3,20/04/2023,6:00 - 7:00,0.006,ppm,NO2,20/04/2023,6:00 - 7:00,0.026,ppm
CO,20/04/2023,7:00 - 8:00,1.65,ppm,O3,20/04/2023,7:00 - 8:00,0.004,ppm,NO2,20/04/2023,7:00 - 8:00,0.027,ppm
CO,20/04/2023,8:00 - 9:00,1.8,ppm,O3,20/04/2023,8:00 - 9:00,0.016,ppm,NO2,20/04/2023,8:00 - 9:00,0.027,ppm
CO,20/04/2023,9:00 - 10:00,1.42,ppm,O3,20/04/2023,9:00 - 10:00,0.035,ppm,NO2,20/04/2023,9:00 - 10:00,0.018,ppm
CO,20/04/2023,10:00 - 11:00,1.19,ppm,O3,20/04/2023,10:00 - 11:00,0.049,ppm,NO2,20/04/2023,10:00 - 11:00,0.015,ppm
CO,20/04/2023,11:00 - 12:00,1.2,ppm,O3,20/04/2023,11:00 - 12:00,0.066,ppm,NO2,20/04/2023,11:00 - 12:00,0.013,ppm
CO,20/04/2023,12:00 - 13:00,1.09,ppm,O3,20/04/2023,12:00 - 13:00,0.073,ppm,NO2,20/04/2023,12:00 - 13:00,0.01,ppm
CO,20/04/2023,13:00 - 14:00,1.03,ppm,O3,20/04/2023,13:00 - 14:00,0.05,ppm,NO2,20/04/2023,13:00 - 14:00,0.009,ppm
CO,20/04/2023,14:00 - 15:00,1.05,ppm,O3,20/04/2023,14:00 - 15:00,0.05,ppm,NO2,20/04/2023,14:00 - 15:00,0.01,ppm
CO,20/04/2023,15:00 - 16:00,1.05,ppm,O3,20/04/2023,15:00 - 16:00,0.053,ppm,NO2,20/04/2023,15:00 - 16:00,0.009,ppm
CO,20/04/2023,16:00 - 17:00,1.21,ppm,O3,20/04/2023,16:00 - 17:00,0.048,ppm,NO2,20/04/2023,16:00 - 17:00,0.019,ppm
CO,20/04/2023,17:00 - 18:00,1.2,ppm,O3,20/04/2023,17:00 - 18:00,0.048,ppm,NO2,20/04/2023,17:00 - 18:00,0.016,ppm
CO,20/04/2023,18:00 - 19:00,1.17,ppm,O3,20/04/2023,18:00 - 19:00,0.027,ppm,NO2,20/04/2023,18:00 - 19:00,0.018,ppm
CO,20/04/2023,19:00 - 20:00,1.43,ppm,O3,20/04/2023,19:00 - 20:00,0.009,ppm,NO2,20/04/2023,19:00 - 20:00,0.03,ppm
CO,20/04/2023,20:00 - 21:00,1.65,ppm,O3,20/04/2023,20:00 - 21:00,0.013,ppm,NO2,20/04/2023,20:00 - 21:00,0.029,ppm
CO,20/04/2023,21:00 - 22:00,1.44,ppm,O3,20/04/2023,21:00 - 22:00,0.015,ppm,NO2,20/04/2023,21:00 - 22:00,0.024,ppm
CO,20/04/2023,22:00 - 23:00,1.47,ppm,O3,20/04/2023,22:00 - 23:00,0.006,ppm,NO2,20/04/2023,22:00 - 23:00,0.027,ppm
CO,21/04/2023,23:00 - 0:00,1.55,ppm,O3,21/04/2023,23:00 - 0:00,0.011,ppm,NO2,21/04/2023,23:00 - 0:00,0.023,ppm
CO,21/04/2023,0:00 - 1:00,1.29,ppm,O3,21/04/2023,0:00 - 1:00,0.015,ppm,NO2,21/04/2023,0:00 - 1:00,0.018,ppm
CO,21/04/2023,1:00 - 2:00,1.17,ppm,O3,21/04/2023,1:00 - 2:00,0.013,ppm,NO2,21/04/2023,1:00 - 2:00,0.019,ppm
CO,21/04/2023,2:00 - 3:00,1.14,ppm,O3,21/04/2023,2:00 - 3:00,0.013,ppm,NO2,21/04/2023,2:00 - 3:00,0.018,ppm
CO,21/04/2023,3:00 - 4:00,1.1,ppm,O3,21/04/2023,3:00 - 4:00,0.004,ppm,NO2,21/04/2023,3:00 - 4:00,0.025,ppm
CO,21/04/2023,4:00 - 5:00,1.16,ppm,O3,21/04/2023,4:00 - 5:00,0.002,ppm,NO2,21/04/2023,4:00 - 5:00,0.023,ppm
CO,21/04/2023,5:00 - 6:00,1.25,ppm,O3,21/04/2023,5:00 - 6:00,0.002,ppm,NO2,21/04/2023,5:00 - 6:00,0.023,ppm
CO,21/04/2023,6:00 - 7:00,1.3,ppm,O3,21/04/2023,6:00 - 7:00,0.002,ppm,NO2,21/04/2023,6:00 - 7:00,0.023,ppm
CO,21/04/2023,7:00 - 8:00,1.55,ppm,O3,21/04/2023,7:00 - 8:00,0.004,ppm,NO2,21/04/2023,7:00 - 8:00,0.025,ppm
CO,21/04/2023,8:00 - 9:00,1.68,ppm,O3,21/04/2023,8:00 - 9:00,0.017,ppm,NO2,21/04/2023,8:00 - 9:00,0.025,ppm
CO,21/04/2023,9:00 - 10:00,1.52,ppm,O3,21/04/2023,9:00 - 10:00,0.032,ppm,NO2,21/04/2023,9:00 - 10:00,0.024,ppm
CO,21/04/2023,10:00 - 11:00,1.34,ppm,O3,21/04/2023,10:00 - 11:00,0.051,ppm,NO2,21/04/2023,10:00 - 11:00,0.017,ppm
CO,21/04/2023,11:00 - 12:00,1.17,ppm,O3,21/04/2023,11:00 - 12:00,0.062,ppm,NO2,21/04/2023,11:00 - 12:00,0.013,ppm
CO,21/04/2023,12:00 - 13:00,1.05,ppm,O3,21/04/2023,12:00 - 13:00,0.066,ppm,NO2,21/04/2023,12:00 - 13:00,0.01,ppm
CO,21/04/2023,13:00 - 14:00,1,ppm,O3,21/04/2023,13:00 - 14:00,0.067,ppm,NO2,21/04/2023,13:00 - 14:00,0.009,ppm
CO,21/04/2023,14:00 - 15:00,0.98,ppm,O3,21/04/2023,14:00 - 15:00,0.069,ppm,NO2,21/04/2023,14:00 - 15:00,0.008,ppm
CO,21/04/2023,15:00 - 16:00,0.99,ppm,O3,21/04/2023,15:00 - 16:00,0.061,ppm,NO2,21/04/2023,15:00 - 16:00,0.01,ppm
CO,21/04/2023,16:00 - 17:00,1.05,ppm,O3,21/04/2023,16:00 - 17:00,0.056,ppm,NO2,21/04/2023,16:00 - 17:00,0.011,ppm
CO,21/04/2023,17:00 - 18:00,1.05,ppm,O3,21/04/2023,17:00 - 18:00,0.048,ppm,NO2,21/04/2023,17:00 - 18:00,0.012,ppm
CO,21/04/2023,18:00 - 19:00,1.2,ppm,O3,21/04/2023,18:00 - 19:00,0.025,ppm,NO2,21/04/2023,18:00 - 19:00,0.025,ppm
CO,21/04/2023,19:00 - 20:00,1.22,ppm,O3,21/04/2023,19:00 - 20:00,0.026,ppm,NO2,21/04/2023,19:00 - 20:00,0.017,ppm
CO,21/04/2023,20:00 - 21:00,1.14,ppm,O3,21/04/2023,20:00 - 21:00,0.023,ppm,NO2,21/04/2023,20:00 - 21:00,0.017,ppm
CO,21/04/2023,21:00 - 22:00,1.2,ppm,O3,21/04/2023,21:00 - 22:00,0.018,ppm,NO2,21/04/2023,21:00 - 22:00,0.019,ppm
CO,21/04/2023,22:00 - 23:00,1.18,ppm,O3,21/04/2023,22:00 - 23:00,0.019,ppm,NO2,21/04/2023,22:00 - 23:00,0.019,ppm
CO,22/04/2023,23:00 - 0:00,1.08,ppm,O3,22/04/2023,23:00 - 0:00,0.018,ppm,NO2,22/04/2023,23:00 - 0:00,0.018,ppm
CO,22/04/2023,0:00 - 1:00,1.09,ppm,O3,22/04/2023,0:00 - 1:00,0.015,ppm,NO2,22/04/2023,0:00 - 1:00,0.016,ppm
CO,22/04/2023,1:00 - 2:00,1.06,ppm,O3,22/04/2023,1:00 - 2:00,0.028,ppm,NO2,22/04/2023,1:00 - 2:00,0.01,ppm
CO,22/04/2023,2:00 - 3:00,0.97,ppm,O3,22/04/2023,2:00 - 3:00,0.026,ppm,NO2,22/04/2023,2:00 - 3:00,0.011,ppm
CO,22/04/2023,3:00 - 4:00,0.91,ppm,O3,22/04/2023,3:00 - 4:00,0.029,ppm,NO2,22/04/2023,3:00 - 4:00,0.009,ppm
CO,22/04/2023,4:00 - 5:00,0.88,ppm,O3,22/04/2023,4:00 - 5:00,0.031,ppm,NO2,22/04/2023,4:00 - 5:00,0.009,ppm
CO,22/04/2023,5:00 - 6:00,0.88,ppm,O3,22/04/2023,5:00 - 6:00,0.026,ppm,NO2,22/04/2023,5:00 - 6:00,0.011,ppm
CO,22/04/2023,6:00 - 7:00,0.95,ppm,O3,22/04/2023,6:00 - 7:00,0.016,ppm,NO2,22/04/2023,6:00 - 7:00,0.018,ppm
CO,22/04/2023,7:00 - 8:00,1.24,ppm,O3,22/04/2023,7:00 - 8:00,0.014,ppm,NO2,22/04/2023,7:00 - 8:00,0.021,ppm
CO,22/04/2023,8:00 - 9:00,1.24,ppm,O3,22/04/2023,8:00 - 9:00,0.024,ppm,NO2,22/04/2023,8:00 - 9:00,0.018,ppm
CO,22/04/2023,9:00 - 10:00,1.16,ppm,O3,22/04/2023,9:00 - 10:00,0.032,ppm,NO2,22/04/2023,9:00 - 10:00,0.016,ppm
CO,22/04/2023,10:00 - 11:00,1.05,ppm,O3,22/04/2023,10:00 - 11:00,0.043,ppm,NO2,22/04/2023,10:00 - 11:00,0.011,ppm
CO,22/04/2023,11:00 - 12:00,1.04,ppm,O3,22/04/2023,11:00 - 12:00,0.05,ppm,NO2,22/04/2023,11:00 - 12:00,0.012,ppm
CO,22/04/2023,12:00 - 13:00,1.01,ppm,O3,22/04/2023,12:00 - 13:00,0.055,ppm,NO2,22/04/2023,12:00 - 13:00,0.009,ppm
CO,22/04/2023,13:00 - 14:00,0.93,ppm,O3,22/04/2023,13:00 - 14:00,0.053,ppm,NO2,22/04/2023,13:00 - 14:00,0.006,ppm
CO,22/04/2023,14:00 - 15:00,0.9,ppm,O3,22/04/2023,14:00 - 15:00,0.053,ppm,NO2,22/04/2023,14:00 - 15:00,0.006,ppm
CO,22/04/2023,15:00 - 16:00,0.92,ppm,O3,22/04/2023,15:00 - 16:00,0.054,ppm,NO2,22/04/2023,15:00 - 16:00,0.007,ppm
CO,22/04/2023,16:00 - 17:00,0.93,ppm,O3,22/04/2023,16:00 - 17:00,0.054,ppm,NO2,22/04/2023,16:00 - 17:00,0.007,ppm
CO,22/04/2023,17:00 - 18:00,0.94,ppm,O3,22/04/2023,17:00 - 18:00,0.059,ppm,NO2,22/04/2023,17:00 - 18:00,0.008,ppm
CO,22/04/2023,18:00 - 19:00,0.97,ppm,O3,22/04/2023,18:00 - 19:00,0.054,ppm,NO2,22/04/2023,18:00 - 19:00,0.009,ppm
CO,22/04/2023,19:00 - 20:00,1.05,ppm,O3,22/04/2023,19:00 - 20:00,0.039,ppm,NO2,22/04/2023,19:00 - 20:00,0.015,ppm
CO,22/04/2023,20:00 - 21:00,1.24,ppm,O3,22/04/2023,20:00 - 21:00,0.029,ppm,NO2,22/04/2023,20:00 - 21:00,0.02,ppm
CO,22/04/2023,21:00 - 22:00,1.11,ppm,O3,22/04/2023,21:00 - 22:00,0.028,ppm,NO2,22/04/2023,21:00 - 22:00,0.016,ppm
CO,22/04/2023,22:00 - 23:00,1.18,ppm,O3,22/04/2023,22:00 - 23:00,0.022,ppm,NO2,22/04/2023,22:00 - 23:00,0.019,ppm
CO,23/04/2023,23:00 - 0:00,1.19,ppm,O3,23/04/2023,23:00 - 0:00,0.018,ppm,NO2,23/04/2023,23:00 - 0:00,0.019,ppm
CO,23/04/2023,0:00 - 1:00,1.19,ppm,O3,23/04/2023,0:00 - 1:00,0.01,ppm,NO2,23/04/2023,0:00 - 1:00,0.022,ppm
CO,23/04/2023,1:00 - 2:00,1.19,ppm,O3,23/04/2023,1:00 - 2:00,0.007,ppm,NO2,23/04/2023,1:00 - 2:00,0.021,ppm
CO,23/04/2023,2:00 - 3:00,1.18,ppm,O3,23/04/2023,2:00 - 3:00,0.009,ppm,NO2,23/04/2023,2:00 - 3:00,0.018,ppm
CO,23/04/2023,3:00 - 4:00,1.21,ppm,O3,23/04/2023,3:00 - 4:00,0.004,ppm,NO2,23/04/2023,3:00 - 4:00,0.019,ppm
CO,23/04/2023,4:00 - 5:00,1.23,ppm,O3,23/04/2023,4:00 - 5:00,0.002,ppm,NO2,23/04/2023,4:00 - 5:00,0.02,ppm
CO,23/04/2023,5:00 - 6:00,1.23,ppm,O3,23/04/2023,5:00 - 6:00,0.002,ppm,NO2,23/04/2023,5:00 - 6:00,0.02,ppm
CO,23/04/2023,6:00 - 7:00,1.27,ppm,O3,23/04/2023,6:00 - 7:00,0.002,ppm,NO2,23/04/2023,6:00 - 7:00,0.019,ppm
CO,23/04/2023,7:00 - 8:00,1.34,ppm,O3,23/04/2023,7:00 - 8:00,0.007,ppm,NO2,23/04/2023,7:00 - 8:00,0.018,ppm
CO,23/04/2023,8:00 - 9:00,1.37,ppm,O3,23/04/2023,8:00 - 9:00,0.016,ppm,NO2,23/04/2023,8:00 - 9:00,0.02,ppm
CO,23/04/2023,9:00 - 10:00,1.28,ppm,O3,23/04/2023,9:00 - 10:00,0.035,ppm,NO2,23/04/2023,9:00 - 10:00,0.014,ppm
CO,23/04/2023,10:00 - 11:00,1.15,ppm,O3,23/04/2023,10:00 - 11:00,0.049,ppm,NO2,23/04/2023,10:00 - 11:00,0.011,ppm
CO,23/04/2023,11:00 - 12:00,1.06,ppm,O3,23/04/2023,11:00 - 12:00,0.052,ppm,NO2,23/04/2023,11:00 - 12:00,0.007,ppm
CO,23/04/2023,12:00 - 13:00,0.99,ppm,O3,23/04/2023,12:00 - 13:00,0.051,ppm,NO2,23/04/2023,12:00 - 13:00,0.006,ppm
CO,23/04/2023,13:00 - 14:00,0.97,ppm,O3,23/04/2023,13:00 - 14:00,0.05,ppm,NO2,23/04/2023,13:00 - 14:00,0.006,ppm
CO,23/04/2023,14:00 - 15:00,0.96,ppm,O3,23/04/2023,14:00 - 15:00,0.044,ppm,NO2,23/04/2023,14:00 - 15:00,0.007,ppm
CO,23/04/2023,15:00 - 16:00,0.9,ppm,O3,23/04/2023,15:00 - 16:00,0.041,ppm,NO2,23/04/2023,15:00 - 16:00,0.006,ppm
CO,23/04/2023,16:00 - 17:00,0.9,ppm,O3,23/04/2023,16:00 - 17:00,0.044,ppm,NO2,23/04/2023,16:00 - 17:00,0.006,ppm
CO,23/04/2023,17:00 - 18:00,0.91,ppm,O3,23/04/2023,17:00 - 18:00,0.042,ppm,NO2,23/04/2023,17:00 - 18:00,0.007,ppm
CO,23/04/2023,18:00 - 19:00,0.94,ppm,O3,23/04/2023,18:00 - 19:00,0.041,ppm,NO2,23/04/2023,18:00 - 19:00,0.008,ppm
CO,23/04/2023,19:00 - 20:00,0.98,ppm,O3,23/04/2023,19:00 - 20:00,0.036,ppm,NO2,23/04/2023,19:00 - 20:00,0.01,ppm
CO,23/04/2023,20:00 - 21:00,1.02,ppm,O3,23/04/2023,20:00 - 21:00,0.037,ppm,NO2,23/04/2023,20:00 - 21:00,0.01,ppm
CO,23/04/2023,21:00 - 22:00,1.02,ppm,O3,23/04/2023,21:00 - 22:00,0.033,ppm,NO2,23/04/2023,21:00 - 22:00,0.011,ppm
CO,23/04/2023,22:00 - 23:00,1.1,ppm,O3,23/04/2023,22:00 - 23:00,0.031,ppm,NO2,23/04/2023,22:00 - 23:00,0.011,ppm
CO,24/04/2023,23:00 - 0:00,1.05,ppm,O3,24/04/2023,23:00 - 0:00,0.03,ppm,NO2,24/04/2023,23:00 - 0:00,0.01,ppm
CO,24/04/2023,0:00 - 1:00,1.09,ppm,O3,24/04/2023,0:00 - 1:00,0.025,ppm,NO2,24/04/2023,0:00 - 1:00,0.012,ppm
CO,24/04/2023,1:00 - 2:00,1.04,ppm,O3,24/04/2023,1:00 - 2:00,0.028,ppm,NO2,24/04/2023,1:00 - 2:00,0.01,ppm
CO,24/04/2023,2:00 - 3:00,1.03,ppm,O3,24/04/2023,2:00 - 3:00,0.017,ppm,NO2,24/04/2023,2:00 - 3:00,0.016,ppm
CO,24/04/2023,3:00 - 4:00,1.12,ppm,O3,24/04/2023,3:00 - 4:00,0.019,ppm,NO2,24/04/2023,3:00 - 4:00,0.015,ppm
CO,24/04/2023,4:00 - 5:00,1.02,ppm,O3,24/04/2023,4:00 - 5:00,0.023,ppm,NO2,24/04/2023,4:00 - 5:00,0.013,ppm
CO,24/04/2023,5:00 - 6:00,1,ppm,O3,24/04/2023,5:00 - 6:00,0.022,ppm,NO2,24/04/2023,5:00 - 6:00,0.014,ppm
CO,24/04/2023,6:00 - 7:00,1.08,ppm,O3,24/04/2023,6:00 - 7:00,0.012,ppm,NO2,24/04/2023,6:00 - 7:00,0.018,ppm
CO,24/04/2023,7:00 - 8:00,1.44,ppm,O3,24/04/2023,7:00 - 8:00,0.004,ppm,NO2,24/04/2023,7:00 - 8:00,0.025,ppm
CO,24/04/2023,8:00 - 9:00,1.74,ppm,O3,24/04/2023,8:00 - 9:00,0.017,ppm,NO2,24/04/2023,8:00 - 9:00,0.022,ppm
CO,24/04/2023,9:00 - 10:00,1.36,ppm,O3,24/04/2023,9:00 - 10:00,0.03,ppm,NO2,24/04/2023,9:00 - 10:00,0.017,ppm
CO,24/04/2023,10:00 - 11:00,1.24,ppm,O3,24/04/2023,10:00 - 11:00,0.043,ppm,NO2,24/04/2023,10:00 - 11:00,0.013,ppm
CO,24/04/2023,11:00 - 12:00,1.08,ppm,O3,24/04/2023,11:00 - 12:00,0.056,ppm,NO2,24/04/2023,11:00 - 12:00,0.009,ppm
CO,24/04/2023,12:00 - 13:00,1.02,ppm,O3,24/04/2023,12:00 - 13:00,0.062,ppm,NO2,24/04/2023,12:00 - 13:00,0.007,ppm
CO,24/04/2023,13:00 - 14:00,0.97,ppm,O3,24/04/2023,13:00 - 14:00,0.054,ppm,NO2,24/04/2023,13:00 - 14:00,0.007,ppm
CO,24/04/2023,14:00 - 15:00,0.99,ppm,O3,24/04/2023,14:00 - 15:00,0.042,ppm,NO2,24/04/2023,14:00 - 15:00,0.011,ppm
CO,24/04/2023,15:00 - 16:00,1.06,ppm,O3,24/04/2023,15:00 - 16:00,0.045,ppm,NO2,24/04/2023,15:00 - 16:00,0.009,ppm
CO,24/04/2023,16:00 - 17:00,1.04,ppm,O3,24/04/2023,16:00 - 17:00,0.045,ppm,NO2,24/04/2023,16:00 - 17:00,0.011,ppm
CO,24/04/2023,17:00 - 18:00,1,ppm,O3,24/04/2023,17:00 - 18:00,0.045,ppm,NO2,24/04/2023,17:00 - 18:00,0.009,ppm
CO,24/04/2023,18:00 - 19:00,1.04,ppm,O3,24/04/2023,18:00 - 19:00,0.035,ppm,NO2,24/04/2023,18:00 - 19:00,0.015,ppm
CO,24/04/2023,19:00 - 20:00,1.18,ppm,O3,24/04/2023,19:00 - 20:00,0.023,ppm,NO2,24/04/2023,19:00 - 20:00,0.022,ppm
CO,24/04/2023,20:00 - 21:00,1.48,ppm,O3,24/04/2023,20:00 - 21:00,0.018,ppm,NO2,24/04/2023,20:00 - 21:00,0.025,ppm
CO,24/04/2023,21:00 - 22:00,1.26,ppm,O3,24/04/2023,21:00 - 22:00,0.024,ppm,NO2,24/04/2023,21:00 - 22:00,0.016,ppm
CO,24/04/2023,22:00 - 23:00,1.15,ppm,O3,24/04/2023,22:00 - 23:00,0.027,ppm,NO2,24/04/2023,22:00 - 23:00,0.011,ppm
CO,25/04/2023,23:00 - 0:00,1.07,ppm,O3,25/04/2023,23:00 - 0:00,0.028,ppm,NO2,25/04/2023,23:00 - 0:00,0.009,ppm
CO,25/04/2023,0:00 - 1:00,1,ppm,O3,25/04/2023,0:00 - 1:00,0.029,ppm,NO2,25/04/2023,0:00 - 1:00,0.008,ppm
CO,25/04/2023,1:00 - 2:00,0.98,ppm,O3,25/04/2023,1:00 - 2:00,0.026,ppm,NO2,25/04/2023,1:00 - 2:00,0.01,ppm
CO,25/04/2023,2:00 - 3:00,0.97,ppm,O3,25/04/2023,2:00 - 3:00,0.025,ppm,NO2,25/04/2023,2:00 - 3:00,0.009,ppm
CO,25/04/2023,3:00 - 4:00,0.96,ppm,O3,25/04/2023,3:00 - 4:00,0.024,ppm,NO2,25/04/2023,3:00 - 4:00,0.009,ppm
CO,25/04/2023,4:00 - 5:00,0.97,ppm,O3,25/04/2023,4:00 - 5:00,0.021,ppm,NO2,25/04/2023,4:00 - 5:00,0.01,ppm
CO,25/04/2023,5:00 - 6:00,1,ppm,O3,25/04/2023,5:00 - 6:00,0.011,ppm,NO2,25/04/2023,5:00 - 6:00,0.018,ppm
CO,25/04/2023,6:00 - 7:00,1.2,ppm,O3,25/04/2023,6:00 - 7:00,0.004,ppm,NO2,25/04/2023,6:00 - 7:00,0.023,ppm
CO,25/04/2023,7:00 - 8:00,1.59,ppm,O3,25/04/2023,7:00 - 8:00,0.013,ppm,NO2,25/04/2023,7:00 - 8:00,0.02,ppm
CO,25/04/2023,8:00 - 9:00,1.38,ppm,O3,25/04/2023,8:00 - 9:00,0.02,ppm,NO2,25/04/2023,8:00 - 9:00,0.017,ppm
CO,25/04/2023,9:00 - 10:00,1.2,ppm,O3,25/04/2023,9:00 - 10:00,0.031,ppm,NO2,25/04/2023,9:00 - 10:00,0.013,ppm
CO,25/04/2023,10:00 - 11:00,1.21,ppm,O3,25/04/2023,10:00 - 11:00,0.043,ppm,NO2,25/04/2023,10:00 - 11:00,0.013,ppm
CO,25/04/2023,11:00 - 12:00,1.07,ppm,O3,25/04/2023,11:00 - 12:00,0.047,ppm,NO2,25/04/2023,11:00 - 12:00,0.007,ppm
CO,25/04/2023,12:00 - 13:00,0.98,ppm,O3,25/04/2023,12:00 - 13:00,0.045,ppm,NO2,25/04/2023,12:00 - 13:00,0.006,ppm
CO,25/04/2023,13:00 - 14:00,0.98,ppm,O3,25/04/2023,13:00 - 14:00,0.049,ppm,NO2,25/04/2023,13:00 - 14:00,0.007,ppm
CO,25/04/2023,14:00 - 15:00,0.96,ppm,O3,25/04/2023,14:00 - 15:00,0.051,ppm,NO2,25/04/2023,14:00 - 15:00,0.006,ppm
CO,25/04/2023,15:00 - 16:00,0.95,ppm,O3,25/04/2023,15:00 - 16:00,0.054,ppm,NO2,25/04/2023,15:00 - 16:00,0.007,ppm
CO,25/04/2023,16:00 - 17:00,0.96,ppm,O3,25/04/2023,16:00 - 17:00,0.061,ppm,NO2,25/04/2023,16:00 - 17:00,0.007,ppm
CO,25/04/2023,17:00 - 18:00,0.96,ppm,O3,25/04/2023,17:00 - 18:00,0.053,ppm,NO2,25/04/2023,17:00 - 18:00,0.007,ppm
CO,25/04/2023,18:00 - 19:00,0.99,ppm,O3,25/04/2023,18:00 - 19:00,0.045,ppm,NO2,25/04/2023,18:00 - 19:00,0.01,ppm
CO,25/04/2023,19:00 - 20:00,1.05,ppm,O3,25/04/2023,19:00 - 20:00,0.035,ppm,NO2,25/04/2023,19:00 - 20:00,0.013,ppm
CO,25/04/2023,20:00 - 21:00,1.1,ppm,O3,25/04/2023,20:00 - 21:00,0.031,ppm,NO2,25/04/2023,20:00 - 21:00,0.015,ppm
CO,25/04/2023,21:00 - 22:00,1.09,ppm,O3,25/04/2023,21:00 - 22:00,0.034,ppm,NO2,25/04/2023,21:00 - 22:00,0.013,ppm
CO,25/04/2023,22:00 - 23:00,1.05,ppm,O3,25/04/2023,22:00 - 23:00,0.036,ppm,NO2,25/04/2023,22:00 - 23:00,0.011,ppm
